bestandsnaam,categorie,oriëntatie,bron/licentie,generatiedatum_of_aankoopdatum,licentiestatus,gebruiksstatus,sha256,aanbevolen_sectie
hero/hero-restaurant-interior-01.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,C7639EF39D97071BFF2B9613738E72A9A89C714088653E619435C8AFF5003B7C,hero;homepage-demo-card
hero/hero-restaurant-table-setting-01.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,34FEAA96608D059440042E8ED7CB7093E01305D11FBB14757C7F30A5F3FDBE85,sfeer;homepage-hero-mobile-preview
service/service-signature-dish-01.jpg,service,portrait,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,67B13CBF3491C676CC8B84143E55FEB873CC7807E1D42FBDAE53190DA94368F8,menu
service/service-signature-dish-02.jpg,service,portrait,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,4392815A65DA5887ED8E5E36A6CEFDDC7A8D6145237D2BC950FB4D4FE8FFAA79,menu
service/service-signature-dish-03.jpg,service,portrait,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,8D6EED19234CBBD452BD3B6025180103DD9E9BC2E9F67FAA0F4A0263B32C8FAE,menu
service/service-signature-dish-04.jpg,service,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,A9B71371C1B27B12881E0206A766E803E06B36BF81F04CCFD76EE12919C98D76,menu
team/team-chef-portrait-01.jpg,team,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,0EB8805B3B58F837A2695334E7986C15F8CCB1626A0A697605583E3BBE463ACD,over-ons
team/team-host-portrait-01.jpg,team,portrait,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,7224DC1F7C3E75052FD70FF6EF122AA2E5F1564C0E49BB89B7BBFA1638F32932,over-ons
team/team-host-portrait-02.jpg,team,portrait,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,567D3A729822361EDD0EC76096AED7118D33666C411AFEA1A96BE352E854A2AF,sfeer
gallery/gallery-dining-room-01.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,84346E48F487E8FDB8AD622B42BF4925F86C24021A38DEF6F1EE7DB7F5246DF9,sfeer
gallery/gallery-private-dining-table-01.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,03-08-2026,geverifieerd,in-gebruik,E5B3EEC6C0C277926A66C6143D7AE29D87C3DC5473628654A09ED03AD5476C7B,sfeer-gallery;private-dining;groepsreservatie
