bestandsnaam,categorie,oriëntatie,bron/licentie,generatiedatum_of_aankoopdatum,licentiestatus,gebruiksstatus,sha256,aanbevolen_sectie
hero/hero-dining-room-evening-01.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,84072B62D50B44D739460016B84F7323F27AFE08825FF90B0D3AC755AD509C15,hero;homepage-demo-card
hero/hero-dining-room-fireplace-01.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,641177E1C4275F486B704806EDB7046399C3DDD06E496C7F2A04B4CD355C6628,hero;sfeer
hero/hero-exterior-night-01.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,57A5C476A95F816C294D6F02DF184C8EC30CAA6DDDAB246A6389D491E38F86B9,hero;sfeer
hero/hero-exterior-night-02.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,C770CCADD24B694F6B52C6D94A6F4C8DB2CC65AFB042D49DE57AB22DC5FECA4E,hero;sfeer
hero/hero-open-grill-01.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,1F11D432E5A4C1BC690BA5E83366363B508D491DBA6092495DC35B3873511619,hero;keuken
hero/hero-open-grill-chef-01.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,707ABA56D7B70C799663B96886211589E9EB6B11CBD0660E56A7CF65EF53AF51,hero;keuken
hero/hero-solution-web-studio-01.jpg,hero,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,FCE21BE5EFF155C9ACDBD26A6FBF1E2AF75F07BC893C129D386FC9EB3BDE68E9,hero;sfeer
gallery/gallery-brasserie-luxury-table-01.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,A3D683A3DD387EC329D9432FA498A6C1724F3B713FA3C16D589DB0D7C7885508,sfeer;gallery
gallery/gallery-brasserie-main-hall-01.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,57EC17D0AE424EBF1892784F9113BD00C1319E5EA69DD1D08F474C2B896B3C74,sfeer;gallery
gallery/gallery-private-dining-01.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,25E6777FFD1ACB90EEBE0D01EB52D2DAEAF5E03E14CAEC2B040EB410CD6751A6,sfeer;private-dining
gallery/gallery-private-dining-02.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,16D1EF66F959765EEA854952ED31C3EC4EC1DAD211D33D1FA3EE873565D58E46,sfeer;private-dining
gallery/gallery-romantic-window-table-01.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,DE4ACDB12E7169056390574563890E52FC648220692391F569DD20B49419D04C,sfeer;gallery
gallery/gallery-romantic-window-table-02.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,A2B53418C1D07BEE4C83E2FB15F8C7D4E05F087B47C3B9574AD542ADADB3AB68,sfeer;gallery
gallery/gallery-sunlit-restaurant-01.jpg,gallery,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,4A5E0894E05D72E5686C4D0BAF0F898F393A4B6486DBA62018A6C8E90C3C9B1F,sfeer;gallery
project/project-digital-menu-01.jpg,project,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,330413F8D2D1E89D469D722431CAA940FB4A783A1CAAF5A84D54125244A1350B,projecten
project/project-digital-menu-02.jpg,project,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,B2BD09F804A88507A7502ADBC1EF604751C3CAF1CC9FA114CDB63028736AA9B3,projecten
project/project-online-reservation-01.jpg,project,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,8703EC25BD795038500F32869D4E3358A62B1195905F058565B937185850B4F4,projecten
project/project-table-management-01.jpg,project,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,8872B02D523954EE9AE85E8323D33641F5C62CF577037A42AB448265E00B8C42,projecten
project/project-table-management-02.jpg,project,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,D82ED7488DF4E4AF3ABC1185087ADC68B9219EB266715F372AD715B7FA4370AC,projecten
service/service-charcoal-grill-platter-01.jpg,service,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,E09E7332B5D64AC0F00EAD478A6145D565F1884904851E22DBF2CDFF6CA4933A,menu
service/service-mezze-selection-01.jpg,service,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,ongebruikt,32D4CF110FC1C75349B41915EFE5115889EB0D4E4FE62C07AA8378F69F37E150,menu
service/service-signature-dish-fish-01.jpg,service,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,847F95AA64E2440DCC205E76BBE9AE5C4A8F6EDAB43ABEBE07B92BEECF73D70C,menu
service/service-signature-dish-lamb-01.jpg,service,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,ACBFA2367105D2701FFCFDD1064C35B36BF82AF6A3133FDD1C217F96B2164961,menu
service/service-signature-dish-seabass-01.jpg,service,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,E2377D39A7AFE8DD3F075DA7A71DC5EAADD310B0661D8707B9116EEC7C4CB57C,menu
service/service-signature-dish-steak-01.jpg,service,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,0A726E0F49E928781AD6C63E51DA2A771EE363E62CCB103AFD2A6227054F7942,menu
team/team-chef-fire-cooking-01.jpg,team,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,2387534304F34543270C669BD9CE566B59F5B1511B9880F924CA336F1263B689,over-ons;keuken
team/team-chef-grill-master-01.jpg,team,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,BF0E351534CEE36913066F248C20125F43678E0A6DB8164BAF719E5C74FD94BF,over-ons;keuken
team/team-chef-open-kitchen-01.jpg,team,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,4AA134C1E00290F7FDFB7E0738EE44EFD29B40E298E3DC317377BDDF6B63CEF4,over-ons;keuken
team/team-chef-open-kitchen-02.jpg,team,landscape,AI-generated for Lorenzo Web Studio,,geverifieerd,in-gebruik,8FF464B0D1E341860EE7EB1FB5D2BFDE7B4DBBD2A65DBD7F1D392C0225690430,over-ons;keuken
